aaronita a.a.ɾoˈni.ta
pulcro ˈpul.kɾo
pulga ˈpul.ɰa
pulgada pulˈɰa.ða
pulguiento pulˈɰjen.to
pulidamente puˈli.ðaˈmen̪.te
pulido puˈli.ðo
pulir puˈlir
pulmonar pul.mo.ˈnaɾ
pulpa ˈpul.pa
pulpo ˈpul.po
pulsear pul.seˈaɾ
pulsera pulˈse.ɾa
pulsista pulˈsis.ta
pulso ˈpul.so
puma ˈpu.ma
pumita pu.ˈmi.ta
punga ˈpun.ga
punir puˈniɾ
punta ˈpun.ta
puntal punˈtal
puntilla pun̪ˈti.ʝa
puntual punˈtwal
puntualidad pun.twa.liˈðað
pupa ˈpu.pa
pupitre puˈpi.tɾe
pupo ˈpu.po
pupusa puˈpu.sa
pureza puˈɾe.sa
purga ˈpuɾ.ɰa
purgable puɾˈɰa.βle
purgador puɾ.ɰaˈðoɾ
purgamiento puɾ.ɰaˈmjen.to
purgante puɾˈɣan̪.te
purgar puɾˈɰaɾ
purgativo puɾ.ɰaˈti.βo
purgatorio puɾ.ɰaˈto.ɾjo
puridad pu.ɾiˈðað
purismo puˈɾis.mo
puro ˈpu.ɾo
putear pu.teˈaɾ
putero puˈte.ɾo
puto ˈpu.to
putrescible pu.tɾesˈsi.βle
putumayense pu.tu.maˈʝen.se
pututo puˈtu.to
puzle ˈpus.le
que ˈke
quebrada ke.ˈβ̞ɾa.ða
quebrar keˈβɾaɾ
quechua ˈke.ʧwa
quedito ke.ˈði.to
quehacer ke.aˈseɾ
queja ˈke.xa
quejar keˈxaɾ
quejica keˈxi.ka
quejicoso ke.xiˈko.so
quejigo keˈxi.ɰo
quejumbroso ke.xumˈbɾo.so
quelite keˈlite
quemadura ke.maˈðu.ɾa
quemar ke.ˈmaɾ
quemarropa ˌke.maˈro.pa
quepis ˈke.pis
querencia keˈɾen.sja
querencioso ke.ɾenˈsjo.so
querer keˈɾeɾ
queroseno ke.ɾoˈse.no
queso ˈke.so
quetzal ket.ˈsal
quevedos keˈβe.ðos
quiaca ˈkja.ka
quiasma ˈkjas.ma
quiasmo ˈkjaz.mo
quibdoano kibˈðwa.ɲo
quiche ˈki.tʃe
quicial kiˈsjal
quicio ˈki.sjo
quien kiˈen
quier ˈkjeɾ
quietamente kje.taˈmen̪.te
quieto ˈkje.to
quietud kje.ˈtuð
quif ˈkif
quijero kiˈxe.ɾo
quijotesco ki.xoˈtes.ko
quila ˈki.la
quilate kiˈla.te
quilla ˈki.ʎa
quilogramo ki.lo.ˈgɾa.mo
quilombo kiˈlom.bo
quilquil kil.ˈkil
quiltro ˈkil.tɾo
quima ˈki.ma
quimba ˈkim.ba
quimera ki.ˈme.ɾa
quimerista ki.meˈɾis.ta
quimerizar ki.me.ɾiˈsaɾ
quimificar ki.mi.fiˈkaɾ
quimo ˈki.mo
quimono kiˈmo.no
quincalla kiŋˈka.ʎa
quince ˈkin.se
quincenal kin.seˈnal
quinceno kinˈse.no
quincho ˈkin.tʃo
quindiano ˈkin̪ˈdja.no
quiniela kiˈnje.la
quinientos ki.nien.tos
quinoto kiˈno.to
quinqui ˈkiŋ.ki
quinto ˈkin.to
quintuplicar kin̪.tu.pliˈkaɾ
quiosco ˈkjos.ko
quipu ˈki.pu
quique ˈki.ke
quiromancia ki.ɾoˈman.sja
quirquincho kiɾˈkiɲ.ʧo
quisca ˈkis.ka
quisquilloso kis.kiˈʎo.so
quitanieves ki.taˈnje.βes
rabadilla ra.βaˈði.ʎa
rabanal ra.βa.ˈnal
rabiar raˈβjaɾ
rabieta raˈβje.ta
rabiosamente raˈβjo.saˈmen̪.te
rabo ˈra.βo
rabona raˈβo.na
rabudo raˈβu.ðo
racial raˈsjal
raciocinio ra.sjoˈsi.njo
racionalizar ra.sjo.na.li.ˈsaɾ
racionamiento ra.sjo.naˈmjen.to
racismo raˈsis.mo
racista ra.ˈsis.ta
radal raˈðal
radar raˈðaɾ
radicalmente ra.ðiˈkalˈmen̪.te
radicando ˈan̪.do
radicar ra.ðiˈkaɾ
radicoso ra.ðiˈko.so
radiografiar ra.ðjo.ɣɾaˈfjaɾ
radiograma ra.ðjoˈɣɾa.ma
radiotelegrafiar ˌra.ðjo.te.le.ɣɾaˈfjaɾ
radiotelegrama ra.ðjo.te.leˈɣɾa.ma
raigambre raj.ˈɰam.βɾe
raja ˈra.xa
rajable raˈxa.βle
rajadizo ra.xaˈði.so
rajador ra.xaˈðoɾ
rajadura ra.xaˈðu.ɾa
rajar raˈxaɾ
rajeta raˈxe.ta
ralbar ralˈβaɾ
ralo ˈra.lo
ramera raˈme.ɾa
ramo ˈra.mo
ramonear ra.mo.neˈaɾ
ramoso ra.ˈmo.so
rampante ram.ˈpan.te
rana ˈra.na
ranacuajo ɾa.naˈkwa.xo
rancho ˈran.tʃo
rancio ˈran̟.sjo
rancor raŋˈkoɾ
randa ˈran.da
rango ˈraŋ.go
ranura ra.ˈnu.ɾa
rapar raˈpaɾ
rapaz raˈpas
rapidez ra.piˈðes
rapto ˈrap.to
raqueta raˈke.ta
raquianestesia ra.kja.nesˈte.sja
raquis ˈra.kis
raramente ra.ɾaˈmen̪.te
raro ˈra.ɾo
rasadura ra.saˈðu.ɾa
rasamente ˈra.saˈmen̪.te
rasar raˈsaɾ
rasarse raˈsaɾ.se
rascacielos ras.kaˈsje.los
rascar rasˈkaɾ
rascuache rasˈkwa.tʃe
rasera raˈse.ɾa
rasero raˈse.ɾo
rasgador ras.ɣaˈðoɾ
rasgadura ras.ɣaˈðu.ɾa
rasgo ˈras.ɰo
raspajo rasˈpa.xo
raspar ras.ˈpaɾ
ratificar ra.ti.fiˈkaɾ
ratio ˈra.tjo
rayar ra.ʝaɾ
raza ˈra.sa
razonable ra.soˈna.βle
razonar ra.soˈnaɾ
re re
reagrupamiento re.a.ɣɾu.paˈmjen̪.to
reagrupar re.a.ɣɾu'paɾ
reajustar re.a.xusˈtaɾ
realismo ɾe.a.ˈlis.mo
realizar re.a.liˈsaɾ
realme reˈal.me
realmente reˈalˈmen̪.te
realzar re.alˈsaɾ
rebaba reˈβa.βa
rebalaje re.βaˈla.xe
rebanar re.βaˈnaɾ
rebeca reˈβe.ka
rebeco reˈβe.ko
rebelarse re.βeˈlaɾ.se
rebelde reˈβel.ðe
rebencazo re.βeŋˈka.so
rebitar re.βiˈtaɾ
reblandecer re.βlan̪.deˈseɾ
rebotar re.βoˈtaɾ
rebote reˈβo.te
rebrotar re.βɾoˈtaɾ
rebujar re.βuˈxaɾ
rebuscador re.βus.kaˈðoɾ
rebuscamiento re.βus.kaˈmjen̪.to
rebuscar re.βusˈkaɾ
rebutir re.βuˈtiɾ
rebuznar re.βusˈnaɾ
recabar re.kaˈβaɾ
recalcitrar re.kal.siˈtɾar
recambiar re,kamˈbjaɾ
recatadamente re.kaˈta.ða.men̪.te
recavar reˈka.βaɾ
receta reˈse.ta
rechazador re.tʃa.saˈðoɾ
rechazamiento re.tʃa.saˈmjen.to
rechifla reˈtʃi.fla
rechiflar re.tʃiˈflaɾ
rechinar re.tʃiˈnaɾ
rechoncho reˈʧon.ʧo
reciamente ˈre.sjaˈmen.te
reciclamiento re.si.kla.ˈmjen̯.to
recientemente reˈsjen.teˈmen.te
recinchar re.sinˈtʃaɾ
recipiente re.siˈpjen̪.te
reciprocar re.si.pɾoˈkaɾ
recitar re.siˈtaɾ
reclamante re.klaˈman̪.te
reclutamiento re.klu.taˈmjen.to
reclutar ɾe.kluˈtaɾ
recodo reˈko.ðo
recolectar re.ko.lekˈtaɾ
recomerse re.koˈmeɾ.se
reconciliar re.kon.siˈljaɾ
reconcomerse re.koŋ.koˈmeɾ.se
reconcomio re.koŋˈko.mjo
reconocedor ˌre.ko.no.seˈðoɾ
reconocer ˌre.ko.noˈseɾ
reconocible ˌre.ko.noˈsi.βle
reconocidamente ˌre.ko.noˈsi.ðaˈmen̪.te
reconocimiento ˌre.ko.no.siˈmjen̪.to
reconstruir rekonstruˈir
reconvalecer re.kom.ba.leˈseɾ
reconvenir re.kom.beˈniɾ
recopilar re.ko.piˈlaɾ
recordar re.koɾ.ˈdaɾ
recortar re.koɾˈtaɾ
recreativo re.kɾe.aˈti.βo
recrecer re.kɾeˈseɾ
recrudecer re.kɾu.ðeˈseɾ
rectamente rek.taˈmen̪.te
rectificar rek.ti.fiˈkaɾ
recto ˈrek.to
recuadrar ɾeˈkwa.ðɾo
recular re.kuˈlaɾ
recuperable re.ku.peˈɾa.βle
recuperador re.ku.pe.ɾaˈðoɾ
recuperar re.ku.peˈɾaɾ
recuperativo re.ku.pe.ɾaˈti.βo
recura reˈku.ɾa
recurar re.kuˈrar
recurrente re.kuˈren̪.te
recurrir re.kuˈriɾ
recurso reˈkuɾ.so
recusable re.kuˈsa.βle
recusar re.kuˈsaɾ
red red
redactar re.ðakˈtaɾ
redecilla re.ðe.ˈsi.ʎa
redefinir re.de.fiˈnir
redituar re.ðiˈtwaɾ
redivivo re.ðiˈβi.βo
redomado re.ðoˈma.ðo
redondo re.ˈðon.ðo
reducidor re.ðu.siˈðoɾ
redundancia re.ðun̪ˈdan.sja
redundante re.ðunˈdan̪.te
reduplicar re.ðu.pliˈkaɾ
reelegir re.e.leˈxiɾ
reescribir re.es.kɾiˈβiɾ
reestrenar re.es.trenˈar
refajo reˈfa.xo
refectorio re.fek.ˈto.ɾjo
referencia re.fe.ˈɾen.sia
referendo re.feˈɾen̪.ðo
referir re.feˈɾiɾ
refitolero re.fi.toˈle.ɾo
reflejar re.fle.xaɾ
reflejo re.ˈfle.xo
reflexivo re.flekˈsi.βo
reflorecer re.flo.ɾeˈseɾ
reforma reˈfoɾ.ma
reforzar re.foɾˈsaɾ
refractario ɾe.fɾak.ˈta.ɾjo
refranero re.fɾaˈne.ɾo
refregar re.fɾeˈɣaɾ
refrenar re.fɾeˈnaɾ
refresco re.ˈfɾes.ko
refugiar re.fuˈxjaɾ
refulgencia re.fulˈxenˈsja
refulgente re.fulˈxen̪.te
refulgir re.fulˈxiɾ
refutar refuˈtaɾ
regala reˈɰa.la
regaliz re.ɰaˈlis
regar reˈɰaɾ
regencia reˈxen.sja
regio ˈre.xjo
regionalismo re.xjo.naˈlis.mo
registrador re.xisˈtɾa.ðoɾ
registrar re.xisˈtɾaɾ
registro reˈxis.tɾo
regordido re.ɰoɾˈði.ðo
regresar re.ɰɾeˈsaɾ
regresivo re.gɾeˈsi.βo
regreso reˈgɾe.so
regular re.guˈlaɾ
rehabilitar re.a.βi.liˈtaɾ
rehacer re.aˈseɾ
rehenchimiento re.eɲ.tʃiˈmjen̪.to
rehenchir re.eɲˈt͡ʃiɾ
rehinchimiento rejɲ.tʃiˈmjen̪.to
rehinchir rejɲˈt͡ʃiɾ
rehogar re.o.ˈɰaɾ
rehumedecer re.u.me.ðeˈseɾ
rehurtarse rewɾˈtaɾ.se
rehusar re.uˈsaɾ
reimprimir rejm.pɾiˈmiɾ
reina ˈrej.na
reincidente rejn.siˈðen̪.te
reincidir rejn.siˈðiɾ
reino ˈrej.no
reiterar rej.te.ˈɾaɾ
reitre ˈrej.tɾe
reja ˈre.xa
rejonazo re.xoˈna.so
rejuvenecedor re.xu.βe.ne.seˈðoɾ
rejuvenecer re.xu.βe.neˈseɾ
relabra ɾeˈla.βɾa
relabrar ɾe.laˈβɾaɾ
relajadamente re.laˈxa.ðaˈmen.te
relajador re.la.xaˈðoɾ
relajamiento re.la.xaˈmjen.to
relajar re.laˈxaɾ
relamido re.la.ˈmi.ðo
relatar re.laˈtaɾ
relatividad re.la.ti.βiˈðað
relativo re.laˈti.βo
relavar re.laˈβaɾ
relegar re.leˈγaɾ
relej reˈlex
relentecer re.len̪.teˈseɾ
relevancia re.leˈβan̪.sja
relicario re.liˈka.ɾjo
relicto reˈlik.to
relieve reˈlje.βe
religioso re.liˈxjo.so
relinchar re.liɲˈʧaɾ
relinga reˈliŋ.ga
relingar re.liŋˈgaɾ
reloj reˈlox
relucir re.luˈsiɾ
reluctancia re.lukˈtan̟.sja
remachado re.maˈʧa.ðo
remachar re.maˈʧaɾ
remache reˈma.ʧe
remanecer re.ma.neˈseɾ
remanente re.maˈ.nen̯.te
remangar re.maŋˈgaɾ
rematar re.maˈtaɾ
remedar re.me.ˈðaɾ
remedio re.ˈme.ðjo
remero reˈme.ɾo
remiel re.ˈmjel
remilgadamente re.mil.ˈɰa.ða.ˌmen.te
remitente re.mi.ˈten.te
remitir re.miˈtiɾ
remodelar re.mo.ðe.ˈlaɾ
remolacha re.moˈla.tʃa
remoler re.moˈleɾ
remolienda re.moˈljen̪.da
remolino re.mo.ˈli.no
remolonear re.mo.lo.neˈaɾ
remolque reˈmol.ke
remontar re.mon̪ˈtaɾ
remoto reˈmo.to
remover re.moˈβeɾ
remunerar re.mu.neˈɾaɾ
renacimiento re.na.siˈmjen.to
renacuajo re.naˈkwa.xo
renal re.ˈnal
rencor reŋˈkoɾ
rendaje renˈda.xe
rendija renˈdi.xa
renegador re.ne.ɣaˈðoɾ
renegar re.neˈɣaɾ
rengar reŋˈgaɾ
renguear reŋ.geˈaɾ
renitente re.niˈten̪.te
renovador re.no.βaˈðoɾ
renovar re.noˈβaɾ
rentabilidad ren.ta.βi.liˈðað
renuente reˈnwen.te
reo ˈre.o
repacer re.paˈseɾ
repanchigarse re.paɲ.tʃiˈɣaɾ.se
repantigarse re.pan̪.tiˈɣaɾ.se
repatriar re.paˈtɾjaɾ
repecho reˈpe.ʈʃo
repelencia re.peˈlen.sja
repensar re.penˈsaɾ
repente reˈpen.te
repentinamente re.pen̪ˈti.naˈmen̪.te
repentino re.penˈti.no
repentirse re.pen̪ˈtiɾ.se
repentista re.penˈtis.ta
repentizar re.pen.tiˈsaɾ
repeor re.peˈoɾ
repetidamente re.pe.ˌti.ða.ˈmen.te
replantear re.plan.teˈaɾ
replegar re.pleˈɰaɾ
replicar re.pliˈkaɾ
repoblar re.poˈβlaɾ
reponer re.poˈneɾ
reportaje re.poɾˈta.xe
reportamiento re.poɾ.ta.ˈmjen.to
reportar re.poɾˈtaɾ
reporte reˈpoɾ.te
reportero re.por.ˈte.ɾo
reportista re.poɾˈtis.ta
reportorio re.poɾˈto.ɾjo
reposadamente re.poˈsa.ðaˈmen.te
reposadero re.po.saˈðe.ɾo
reposar re.poˈsaɾ
reposo reˈpo.so
reprender re.pɾenˈdeɾ
represaliar re.pɾe.sa.ˈljaɾ
representar re.pɾe.senˈtaɾ
representatividad re.pɾe.sen.ta.ti.βiˈðað
represor re.pɾeˈsoɾ
reprobar re.pɾoˈβaɾ
reproducir re.pɾo.ðuˈsiɾ
reproductivo re.pɾo.δ̞ug.ˈt̪i.β̞o
reproductor re.pɾo.ðukˈtoɾ
reptil repˈtil
repudiar repuˈðjaɾ
repugnancia re.puɰˈnan.sja
repugnante re.puɣˈnan.te
repugnantemente re.puɣˈnan̪.teˈmen̪.te
repugnar re.puɣˈnaɾ
requebrar re.keˈβɾaɾ
requeridor re.ke.ɾiˈðoɾ
requerimiento re.ke.ɾiˈmjen.to
requerir re.keˈɾiɾ
requesonero re.ke.soˈne.ɾo
requintador re.kin.taˈðoɾ
requintar re.kinˈtaɾ
requinto reˈkin.to
requisito re.ki.ˈsi.to
res ˈres
resaca reˈsa.ka
resalir re.saˈliɾ
resarcible re.saɾ.ˈsi.βle
resarcir re.saɾˈsiɾ
resbalar res.βaˈlaɾ
resbaloso res.βaˈlo.so
rescate reˈsca.te
rescoldar res.kol.ˈdaɾ
resentirse re.sen̪ˈtiɾ.se
resfriado res.ˈfɾi.a.ðo
resfriamiento res.fɾi.a.ˈmjen.to
residencia re.siˈðen.sja
residuo reˈsi.ðwo
resignar re.siɣˈnaɾ
resistencia re.sisˈten.sia
resistir re.sisˈtiɾ
resma ˈres.ma
resobrino re.so.ˈβɾi.no
resonancia re.soˈnan.sja
respaldo ɾes ˈpal do
respectar res.pekˈtaɾ
respectivo res.pekˈti.βo
respecto resˈpek.to
respetabilidad res.pe.ta.βi.liˈðað
respetable res.peˈta.βle
respetador res.pe.taˈðoɾ
respetar res.peˈtaɾ
respetivo res.peˈti.βo
respetosamente res.peˈto.saˈmen̪.te
respetoso res.peˈto.so
respetuosamente res.peˈtwo.saˈmen̪.te
respetuosidad res.pe.two.siˈðað
respetuoso res.peˈtwo.so
resplandecer res.plan̪.deˈseɾ
resplandeciente res.plan̪.deˈsjen̪.te
resplandor ˈres.plan.d̪oɾ
responder ɾes.pon̪ˈdeɾ
responsabilidad res.pon.sa.β̞i.liˈðað
responsable res.pon.sa.β̞le
responsablemente res.ponˈsa.βle.men̪.te
respuesta resˈpwes.ta
resquebrajar res.ke.βɾaˈxaɾ
resquebrar res.keˈβɾaɾ
restaurante res.tawˈɾan.te
resto ˈres.to
restregar res.tɾeˈɣaɾ
resucitar re.su.siˈtaɾ
resueltamente reˌswel.taˈmen̪.te
resultando ˈan̪.do
resultar re.sulˈtaɾ
retablero re.taˈβle.ɾo
retablo reˈta.βlo
retaguardia re.taˈɣwaɾ.ðja
retardar re.taɾ.ˈðaɾ
retazo re.ˈta.so
retemblar re.temˈblaɾ
retentar re.ten̪ˈtaɾ
retina re.ˈti.na
retoricadamente re.to.ɾiˈka.ðaˈmen̪.te
retoricar re.to.ɾiˈkaɾ
retostar re.tosˈtaɾ
retozar ..
retratista re.tɾaˈtis.ta
retrato reˈtɾa.to
retreparse re.tɾeˈpaɾ.se
retrete reˈtɾe.te
retribuir re.tɾiˈβwiɾ
retrocar re.tɾoˈkaɾ
retundir re.tun.ˈdiɾ
reumatismo rew.ma.ˈtis.mo
reunir rewˈniɾ
revaluar re.βaˈlwaɾ
revancha reˈβaɲ.tʃa
revejecer re.be.xeˈseɾ
revelable re.βeˈla.βle
revelador re.βe.laˈðoɾ
revelamiento re.βe.laˈmjen̪.to
revelandero re.βe.lan̪ˈde.ɾo
revelar re.βeˈlaɾ
revenir re.βeˈniɾ
rever reˈβeɾ
reverdecer re.beɾ.ðeˈseɾ
reverencia re.βeˈɾen.sja
reverenciar re.βe.ɾenˈsjaɾ
reverendo re.βeˈɾen.ðo
reverso ɾe ˈβer so
revertir re.βeɾˈtiɾ
revesar re.βeˈsaɾ
revisar re.βiˈsaɾ
revisto reˈβis.to
revivir re.βiˈβiɾ
revocar re.βoˈkaɾ
revoltijo re.βolˈti.xo
revolucionario reβolusioˈnaɾio
revoque reˈβo.ke
reyerta re.ˈʝeɾ.ta
reyezuelo re.ʝeˈswe.lo
rezar reˈsaɾ
rezno ˈres.no
rezongar re.soŋˈgaɾ
rezumadero re.su.maˈðe.ɾo
rezumar re.suˈmaɾ
riada riˈa.ða
riba ˈri.βa
ribera riˈβe.ɾa
ribosoma ri.βoˈso.ma
rico ˈri.ko
rienda ˈrjen.da
riesgo ˈrjes.ɰo
rigidez ri.xi.ˈðes
rigor riˈɰoɾ
rigoroso ri.ɣoˈɾo.so
riguroso ri.ɣuˈɾo.so
rijoso ri.ˈxo.so
rimar riˈmaɾ
ringar riŋˈgaɾ
rinoceronte ri.no.seˈɾon.te
rinofaringe ˌri.no.fa.ˈɾin.xe
rinoplastia ri.no.ˈplas.tja
riojano ri.oˈxa.no
rioplatense ˌri.o.plaˈten.se
riostrar rjosˈtɾaɾ
ripio ˈri.pjo
ripioso riˈpjo.so
riqueza riˈke.sa 
risa ˈri.sa
risaraldense ri.sa.ɾalˈden.se
riscal ris.ˈkal
ritmo ˈrit.mo
ritual riˈtwal
ritualista ri.twaˈlis.ta
rival riˈβal
rivalidad ri.βa.liˈðað
rivera riˈβe.ɾa
riverense ri.βeˈɾen.se
ro ˈro
rob ˈrob
robar roˈβaɾ
roble ˈro.βle
robot roˈβot
robustamente roˈβus.taˈmen̪.te
robustecedor ro.βus.te.seˈðoɾ
robustecer ro.βus.teˈseɾ
robustecimiento ro.βus.te.siˈmjen̪.to
robustez ro.βusˈtes
robusteza ro.βusˈte.sa
robusticidad ro.βus.ti.siˈðað
robusto roˈβus.to
rocalla roˈka.ʎa
rocalloso ro.kaˈʎo.so
rocambolesco ro.kam.boˈles.ko
rochar roˈtʃaɾ
rociar roˈsjaɾ
rocoso ro'ko.so
roda ˈro.ða
rodado roˈða.ðo
rodaja roˈða.xa
rodaje roˈða.xe
rodela roˈðe.la
rodete roˈðe.te
rodezno roˈðes.no
rodio ˈro.ðjo
roel ro.ˈel
roer roˈeɾ
rogar roˈɰaɾ
rojo ˈro.xo
romadizo ro.maˈði.so
romance roˈman.se
romanche roˈmaɳ.tʃe
romanticismo ro.man̪.tiˈsis.mo
rombo ˈrom.bo
romo ˈro.mo
rompecabezas rom.pe.kaˈβe.sas
romper romˈpeɾ
ron ˈron
rondalla ɾon̪ˈda.ʎa
ronronear ron.ro.neˈaɾ
ropa ˈro.pa
ropaje roˈpa.xe
ropavejero ro.pa.βeˈxe.ɾo
ropero roˈpe.ɾo
ropeta roˈpe.ta
roquedal ro.keˈðal
roquefort ʀɔkɛfɔrt
rorcual roɾ.ˈkwal
rorro ˈro.ro
ros ˈros
rosa ˈro.sa
rosario roˈsa.ɾjo
rosbif ˈros.βif
rosear ɾo.seˈar
roseta roˈse.ta
rosillo roˈsi.ʒo
rosjo ˈros.χo
rostro ˈros.tɾo
rotatorio ro.taˈto.ɾjo
rotonda roˈton.da
rotuliano ro.tu.ˈlja.no
rotundamente roˈtun̪.daˈmen̪.te
rotura ro.ˈtu.ɾa
rozar roˈsaɾ
ruar rwaɾ
rubefaciente ru.βe.faˈsjen.te
rubidio ruˈβi.ðjo
rubio ˈru.βjo
rublo ˈruβ.lo
rubor ruˈβoɾ
ruborizar ru.βo.ɾiˈsaɾ
rubriquista ru.βɾiˈkis.ta
rubro ˈru.βɾo
rucho ˈru.t͡ʃo
rucio ˈru.sjo
rudamente ˈru.ðaˈmen̪.te
rugar ruˈɣaɾ
rugby ˈruɰ.βi
rugir ruˈxiɾ
rugosidad ru.ɣo.siˈðað
rugoso ruˈɰo.so
ruido ˈrwi.ðo
ruidosamente rwiˈðo.saˈmen̪.te
ruidoso rwiˈðo.so
ruin ˈrwin
ruina ˈrwi.na
ruindad rwjnˈðað
ruinoso rwiˈno.so
rulo ˈru.lo
rumano ru.ˈma.no
rumba ˈrum.ba
rumor ruˈmoɾ
runrunear run.ru.neˈaɾ
rupestre ruˈpes.tɾe
ruptura rup.ˈtu.ɾa
rural ruˈɾal
ruso ˈru.so
ruta ˈru.ta
sabalero sa.βaˈle.ɾo
sabana sa.ˈβ̞a.na
sabandija sa.βan.ˈdi.xa
sabelotodo ˌsa.βe.loˈto.ðo
sabio ˈsa.βjo
sabor saˈβoɾ
sabotaje sa.βoˈta.xe
saboteador sa.βo.teaˈðoɾ
sabotear sa.βoˈte.aɾ
sabrosamente saˈβɾo.saˈmen̪.te
sacacorchos sa.kaˈkoɾ.tʃos
sacapuntas ˌsa.kaˈpun.tas
sacerdocio sa.seɾˈðo.sjo
sacho ˈsa.tʃo
saciar saˈsjaɾ
sacramento sa.kɾaˈmen.to
sacrificio sa.kɾiˈfi.sjo
sacrosantamente sa.kroˈsan̪.ta.men̪.te
sacuara saˈkwa.ɾa
sacudidamente sa.kuˈði.ðaˈmen̪.te
sacudidor sa.ku.ðiˈðoɾ
sacudidura sa.ku.ðiˈðu.ɾa
sacudimiento sa.ku.ðiˈmjen̪.to
sacudir sa.kuˈðiɾ
sagacidad sa.ɰa.siˈðað
sagital sa.xiˈtal
sagrado saˈgɾa.ðo
saharaui sa.(h)aˈɾa.wi
sahariano sa.(h)aˈɾja.no
sahumerio sa.u.ˈme.rjo
saja ˈsa.xa
salacot sa.laˈkot
salador sa.laˈðoɾ
salamanca sa.laˈmaŋ.ka
salamandra sa.laˈman.dɾa
salamanquino sa.la.maŋˈki.no
salame saˈla.me
salangana sa.laŋˈga.na
salar saˈlaɾ
salarial sa.laˈɾjal
salario saˈla.ɾjo
salchicha salˈtʃi.tʃa
saldo ˈsal.do
salero saˈle.ɾo
salificar sa.li.fiˈkaɾ
salinidad sa.li.niˈðað
salir sa.ˈliɾ
salitrado sa.li.ˈtɾa.ðo
salitral sa.li.ˈtɾal
salitre sa.li.ˈtɾe
salitrera sa.li.ˈtɾe.ɾa
salitrero sa.li.ˈtɾe.ɾo
salitroso sa.li.ˈtɾo.so
salival sa.li.ˈβal
salmantino sal.man̪ˈti.no
saloma sa.ˈlo.ma
salpicadero sal.pi.kaˈðe.ro
saltante salˈtan.te
saltar sal.ˈtaɾ
saltear sal.teˈaɾ
salubre saˈlu.βɾe
salud saˈluð
saludable sa.luˈða.βle
saludablemente sa.luˈða.βleˈmen.te
saludador sa.lu.ðaˈðoɾ
saludar sa.luˈðaɾ
saludo saˈlu.ðo
salumbre saˈlum.bɾe
salute saˈlu.te
salvable salˈβa.βle
salvador sal.βaˈðoɾ
salvaguarda sal.βaˈɰwaɾ.ða
salvaguardia sal.βaˈɰwaɾ.ðja
salvajada sal.βaˈxa.ða
salvaje salˈβa.xe
salvajez sal.βaˈxes
salvajino sal.βaˈxi.no
salvamente ˈsal.βaˈmen.te
salvamento sal.βaˈmen.to
salvamiento sal.βaˈmjen.to
salvante salˈβan.te
salvar salˈβaɾ
salve sal.be
salvoconducto sal.βo.konˈduk.to
samba ˈsam.ba
samovar sa.moˈβaɾ
san san
sanamente ˈsa.naˈmen̪.te
sanar saˈnaɾ
sancirole san.siˈɾo.le
sandalia san.ˈda.lja
sandez san̪ˈdes
sandia ˈsan̪.dja
sandial san̪ˈdjal
sandiar san̪ˈdjaɾ
sandinismo san̪.diˈnis.mo
sandinista san̪.diˈnis.ta
sandio ˈsan̪.djo
sanducero san.duˈse.ɾo
saneamiento sa.ne.aˈmjen̪.to
sanear sa.neˈaɾ
sangrado sanˈgɾa.ðo
sangrante saŋˈgɾan̪.te
sangrar saŋˈgɾaɾ
sangre ˈsaŋ.gɾe
sangriento saŋˈgɾjen.to
sanguijuela saŋ.giˈxwe.la
sanguina saŋˈgi.na
sanidad sa.niˈðað
santamente ˈsan̪.taˈmen̪.te
santandereano san̪.tan̪.de.ɾeˈa.no
santateresa san.ta.teˈɾe.sa
santificar san.ti.fiˈkaɾ
santiguar san.tiˈɣwaɾ
santo ˈsan.to
santoral san.toˈɾal
santuario sanˈtwa.ɾi.o
sapiencia saˈpjen.sja
sapino saˈpj.no
sapo ˈsa.po
saprofito sa.pɾoˈfi.to
saqueo saˈkeo
sarao saˈɾa.o
sarasa sa.ɾa.sa
sardana saɾˈða.na
sardina saɾˈði.na
sardo ˈsaɾ.ðo
sardonal saɾ.ðoˈnal
sargento saɾˈxen̪.to
sarmentar saɾ.men̪ˈtaɾ
sarna ˈsaɾ.na
sarraceno sa.raˈse.no
sarracino sa.raˈsi.no
sarrio reˈβe.ko
sarro ˈsa.ro
sarta ˈsaɾ.ta
sartorio saɾ.ˈto.ɾjo
sastre ˈsas.tɾe
satanismo sa.taˈnis.mo
satinar sa.tiˈnaɾ
satisfacer sa.tis.faˈseɾ
satisfactoriamente sa.tis.fakˈto.ɾjaˈmen̪.te
satisfactorio sa.tis.fakˈto.ɾjo
satisfecho sa.tisˈfe.tʃo
savia ˈsa.βja
sayalero sa.ʝaˈle.ɾo
sazonar sa.soˈnaɾ
sebo ˈse.βo
secamente ˈse.kaˈmen̪.te
secano se.ˈka.no
seco ˈse.ko
secretamente seˈkɾe.taˈmen̪.te
secretario se.kɾeˈta.ɾjo
secta ˈsek.ta
sector sekˈtoɾ
secuaz seˈkwas
secuela seˈkwe.la
secuencia seˈkwen.sja
secuencial se.kwenˈsjal
secuenciar se.kwenˈsjaɾ
secuestrador se.kwes.tɾaˈðoɾ
secuestrar se.kwesˈtɾaɾ
secuestrario se.kwesˈtɾa.ɾjo
secuestro seˈkwes.to
secular se.kuˈlaɾ
secularidad se.ku.la.ɾiˈðað
