aaronita a.a.4o"ni.ta
parcelario pa4.se"la.4jo
parche "pa4.tSe
parcialidad pa4.sja.li"DaD
pardal pa4."Dal
pardo "pa4.Do
parecencia pa.4e"sen.sja
parecer pa.4e"se4
pared pa"4eD
paremia pa"4e.mja
parentesco pa.4en_d"tes.ko
paridad pa.4i"DaD
pariente pa"4jen.te
pario "pa.4jo
parir pa"4i4
parlamento pa4.la"men.to
parlante pa4"lan.te
parlar pa4"lar
parodia pa"4o.Dja
paronomasia pa.4o.no"ma.sja
paroxismo pa.4ok"sis.mo
parpadear pa4.pa.De"a4
parque "pa4.ke
parquear pa4.ke"a4
parqui "pa4.ki
parra "pa.ra
parral pa"ral
parranda pa"ran.da
parroquia pa"ro.kja
parroquial pa.ro"kjal
parroquialidad pa.ro.kja.li"DaD
parroquiano pa.ro"kja.no
parsec pa4"sek
parsimonia pa4.si"mo.nja
parsimonioso pa4.si.mo"njo.so
parteluz pa4.te"lus
particular pa4.ti.ku"la4
particularidad pa4.ti.ku.la.4i"dad
particularmente pa4.ti.ku"la4.men_d.te
partida pa4"ti.Da
partidamente pa4"ti.Da"men.te
partidario pa4.ti"Da.4jo
partitivo pa4.ti "ti.Bo
partitura pa4.ti"tu.4a
pasadera pa.sa"De.4a
pasaderamente pa.sa"De.4a"men.te
pasadero pa.sa"De.4o
pasadizo pa.sa"Di.so
pasador pa.sa"Do4
pasadura pa.sa"Du.4a
pasagonzalo pa.sa.M\on"sa.lo
pasaje pa"sa.xe
pasajero pa.sa"xe.4o
pasar pa"sa4
pasatiempo pa.sa"tjem.po
pascua "pas.kwa
pascuense pas"kwen.se
paseo pa."se.o
paseriforme pa.se.4i.fo_o4.me
pasional pa.sjo"nal
pasivamente pa.si.Ba'men.te
pasividad pa.si.Bi"DaD
pasmar pas"ma4
pasmosamente pas"mo.sa"men_d.te
pasmoso pas"mo.so
pasodoble pa.so"Do.Ble
pasta "pas.ta
pastel pas."tel
pastelero pas.te"le.4o
pastense pas"ten.se
pastiche pas"ti.tSe
pastinaca pasti"naka
pasto "pas.to
pastor pas"to4
pastosidad pas.to.si."DaD
pastuso pas"tu.so
patada pa"ta.Da
pataleo pa.ta."le.o
patata pa"ta.ta
patatal pa.ta."tal
patay pa"taj
pateadura pa.te.a"Du.4a
patear pa.te"a4
patente pa"ten.te
paternal pa.te4"nal
patero pa"te.4o
patetismo pa.te."tis.mo
patio "pa.tjo
pato "pa.to
patojo pa."to.xo
patota pa"to.ta
patotero pa.to"te.4o
patria "pa.t4ja
patricio pa"t4i.sio
patrimonial pa.t4i.mo"njal
patrimonio pa.t4i"mo.njo
patriotero pa.t4jo"te.4o
patriotismo "pa.t4jo"tis.mo
patrono pa"t4o.no
patrulla pa"t4u.ʎa
patudo pa"tu.Do
patuleco pa.tu"le.ko
paulatinamente pau.la.ti.na"men.te
paulatino paw.la"ti.no
pausadamente paw"sa.da.men_d.te
pava "pa.Ba
pavada pa"Ba.Da
pavero pa"Be.4o
pavo "pa.Bo
pavorosamente pa.Bo"4o.sa"men_d.te
payasada pa.j\a sa."Da
paz "pas
pazguato pas"M\wa.to
pe pe
peana pe"a.na
pebete pe"Be.te
pecar pe"ka4
peceto pe."tSe.to
pecho "pe.tSo
pechuga pe"tSu.M\a
pecio "pe.sjo
pecoso pe"ko.so
pectosa pek"to.sa
peculiar pe.ku"lja4
pecuniario pe.ku"nja.4jo
pedal pe"Dal
pedalada pe.Da"la.Da
pedante pe."Dan.te
pederastia pe.De"4as.tja
pedicoj pe.Di"kox
pediculosis pe.Di.ku"lo.sis
pedofilia pe.Do"fi.lja
pedorrear pe.Do.re"a4
pedorro pe"Do.ro
pedrada pe"D4a.Da
pedregal pe.D4e"Gal
pedregoso pe.D4e"Go.so
pedrera pe"D4e.4a
pedriscal pe.D4is"kal
pedroche pe"D4o.tSe
peer pe"e4
pegar pe"M\a4
pegatina pe.γa."ti.na
pehuenche pe"wen.tSe
peinar pej"na4
peineta pej"ne.ta
peladero pe.la"De.4o
pelador pe.la"Do4
pelagallos pe.la"M\a.j\os
pelagatos pe.la"M\a.tos
pelaje pe"la.xe
pelambre pe"lam.b4e
pelambrera pe.lam."b4e.4a
pelanas pe"la.nas
pelar pe"la4
pelear pe.le"a4
peliagudo pe.lja"Gu.Do
peliblanco pe.li"BlaN.ko
pelicorto pe.li"ko4.to
peligro pe"li.G4o
peligrosamente pe.li"G4o.sa"men_d.te
peligroso pe.li"M\4o.so
pelilargo pe.li"la4.Go
pelinegro pe.li"ne.G4o
pelirrojo pe.li"ro.xo
pelirrubio pe.li"ru.Bjo
pelitrique pe.li"tri.ke
pellejo pe"j\e.xo
pelmazo pel."ma.so
pelota pe"lo.ta
pelotari pe.lo."ta.4i
pelotera pe.lo"te.4a
pelta "pel.ta
peltasta pel."tas.ta
peluca pe."lu.ka
peludo pe"lu.Do
pelusa pe"lu.sa
penal pe"nal
penalti pe"nal.ti
penar pe."na4
pendejo pen"de.xo
pendiente pen"djen.te
peneca pe"ne.ka
penique pe"ni.ke
penitencia pe.ni"ten.sja
penitente pe.ni."ten.te
penol pe"nol
penquista peN"kis.ta
pensable pen"sa.Ble
pensante pen"san_d.te
pensativo pen.sa"ti.Bo
pentagonal pen_d.ta.Go"nal
penuria pe"nu.4ja
peonza pe"on.sa
peor pe"o4
pepa pe"pa
pepena pe."pe.na
pepenar pe.pe."na4
pepino pe"pi.no
pepita pe"pi.ta
peplo "pe.plo
pepsina pep."si.na
pera "pe.4a
perada pe."4a.Da
peral pe"4al
percal pe4"kal
percatar per.ka"ta4
percebe pe4"se.Be
percochar per ko "t∫ar
percudir pe4.ku"Di4
percutir %pe4.ku."ti4
perdedero pe4.De"De.4o
perdedor pe4.De"Do4
perder pe4"De4
perdidamente pe4"Di.Da"men.te
perdidizo pe4.Di"Di.so
perdido pe4"Di.Do
perdidoso pe4.Di"Do.so
perdiz pe4"Dis
perdonable pe4.do"na.Ble
perdonar pe4.Do"na4
perdurar pe4.du"rar
perecear pe.4e.se"a4
perecedero pe.4e.se"De.4o
pereion pe"4e.jon
perejil pe.4e"xil
perennifolio pe.4e.ni."fo.lio
pereque pe"4e.ke
pereza pe"4e.sa
perfeccionador pe4.fek.sjo.na"Do4
perfeccionamiento pe4.fek.sjo.na"mjen.to
perfeccionar pe4.fek.sjo"na4
perfectamente pe4"fek.ta"men.te
perfectibilidad pe4.fek.ti.Bi.li"DaD
perfectible pe4.fek"ti.Ble
perfectivo per.fek."ti.Bo
perfecto pe4"fek.to
perfeto pe4"fe.to
perficiente pe4.fi"sjen.te
perfidia pe4"fi.Dja
perfil pe4"fil
perfilado pe4.fi"la.Do
perfilador pe4.fi.la"Do4
perfiladura pe4.fi.la"Du.4a
perfilar pe4.fi"la4
perforador pe4.fo.4a"Do4
perfume pe4"fu.me
pergamino pe4.Ga"mi.no
pergenio pe4"xe.njo
perianto pe.4i"an.to
perica pe"4i.ka
pericardio pe.4i."ka4.Djo
pericarditis pe.4i.ka4."Di.tis
pericia pe"4i.sja
periclitar pe.4i.kli"ta4
perico pe"4i.ko
periferia pe.4i"fe.4ja
perigonio pe.4i."γo.njo
perihelio %pe.4i"e.ljo
perimir pe.4i"mi4
perinatal pe.4i.na"tal
perinola pe.4i"no.la
periodismo pe.4jo"Dis.mo
periodista pe.4jo"Dis.ta
periodo pe"4jo.Do
periplo pe."4i.plo
periquito pe.4i"ki.to
periscopio pe.4is."ko.pjo
perito pe"4i.to
permanecer pe4.ma.ne"se4
permeabilidad pe4.me.a.Bi.li"δaδ
permisivo pe4.mi"si.Bo
permiso pe4"mi.so
permitir pe4.mi"ti4
permuta pe4"mu.ta
pernera pe4."ne.4a
perniquebrar pe4.ni.ke"B4a4
pernoctar pe4.nok"ta4
pero "pe.4o
perogrullada pe.4o.g4u"ʎa.Da
perol pe"4ol
peronismo pe.4o"nis.mo
peronista pe.4o"nis.ta
perorata pe.4o"ra.ta
perpendicular pe4.pen.di.ku"la4
perpetuidad pe4.pe.twj"DaD
perplejidad pe4.ple.xi"DaD
perra "pe.ra
perraje pe"ra.xe
perrero pe"re.4o
perrito pe"ri.to
perro "pe.ro
persa "pe4.sa
perseguir pe4.se"M\i4
perseverancia pe4.se.Be."4an.sja
perseverante per.se.Be"4an.te
perseverar per.se.Be"4a4
persiana pe4"sja.na
persicaria pe4.si"ka.4ja
persignar pe4.siG"na4
persistencia pe4.sis"ten.sja
persona pe4"so.na
personal pe4.so"nal
personalidad pe4.so.na.li"DaD
personificar pe4.so.ni.fi"ka4
perspectiva pe4s.pek"ti.Ba
perspicaz pers.pi"kas
persuadidor pe4.swa.Di"Do4
persuadir pe4.swa"Di4
persuasivo pe4.swa"si.Bo
persuasor pe4.swa"so4
persuasorio pe4.swa"so.4jo
pertenencia pe4.te"nen.sja
pertiguero pe4.ti"M\e.4o
pertinencia pe4.ti"nen_d.sja
pertinente pe4.ti."nen.te
pertinentemente pe4.ti."nen.te"men.te
perturbar pe4.tu4."Ba4
peruanismo pe.4wa"nis.mo
peruano pe"4wa.no
perversidad pe4.Be4.si"DaD
perverso pe4"Be4.so
pervivencia pe4.Bi"Ben.sja
pervivir %pe4.Bi"Bi4
pesar pe"sa4
pesario pe."sa.4jo
pesca "pes.ka
pescadero pes.ka"De.4o
pescado pes"ka.Do
pescador pes.ka"Do4
pescar pes"kar
peste "pes.te
pestilencia pes.ti"len_d.sja
pestilente pes.ti"len_d.te
petaca pe"ta.ka
petalismo pe.ta."liz.mo
petanca pe"tan.ka
petar pe"ta4
petardo pe"ta4.Do
petenera pe.te"ne.4a
peticano pe.ti"ka.no
peticanon pe.ti"ka.non
petimetre pe.ti."me.t4e
petirrojo pe.ti."ro.Xo
petiso pe"ti.so
peto "pe.to
petrificar pe.t4i.fi."ka4
petulancia pe.tu"lan_d.sja
petulante pe.tu"lan.te
peyorar pe.j\o"4a4
peyorativo pe.j\o.4a"ti.Bo
pi pi
piamadre pi.a."ma.D4e
pianista pja"nis.ta
piar pja4
pibe "pi.Be
picacero pi.ka"se.4o
picacho pi.ka."tSo
picadero pi.ka"De.4o
picador pi.ka"Do4
picadura pi.ka"Du.4a
picaflor pi.ka."flo4
picagrega pi.ka"g4e.M\a
pical pi."kal
picamaderos pi.ka.ma"De.4os
picana pi"ka.na
picanear pi.ka.ne"a4
picante pi"kan.te
picantemente pi"kan.te"men.te
picapleitos pi.ka."plej.tos
picaporte pi.ka"po4.te
picaposte pi.ka"pos.te
picapuerco pi.ka"pwe4.ko
picar pi"ka4
picaraza pi.ka"4a.sa
picarazado pi.ka.4a"sa.Do
picardear pi.ka4.De"a4
picardo pi"ka4.Do
picaresco pi.ka"4es.ko
picaril pi.ka"4il
picarrelincho pi.ka.re"lin.tSo
picatoste pi.ka"tos.te
picaza pi.ka"sa
picazo pi"ka.so
pichana pi"tSa.na
pichanga pi"ʧaN.ga
pichirre pi"tSi.re
pichiruche pi.tSi."4u.tSe
pichona pi"tSo.na
picotear pi.ko.te."a4
piedad pje"DaD
piel "pjel
piensador pjen.sa"Do4
pierna "pje4.na
pieza "pje.sa
pifiar pi"fja4
pigmento piG"men_d.to
pignorar piG.no"4a4
pija "pi.xa
pije "pi.xe
pijo "pi.xo
pijotero pi.xo"te.4o
pilcha pil"tSa
pileta pi"le.ta
pilmama pil"ma.ma
pilonero pi.lo"ne.4o
pilucho pi"lu.tSo
pimienta pi"mjen"ta
pimiento pi"mjen.to
pin pin
pinar pi"na4
pincel pin"sel
pincelar pin.se"la4
pincelero pin.se"le.4o
pincerna pin"se4.na
pinche "pintSe
pindonga pin"doN.ga
pinga "piN.ga
pingo "piN.go
pinjante piN"xan.te
pinnado pin"na.Do
pinolero pi.no"le.4o
pinrel pin"rel
pintamonas %pin_d.ta"mo.nas
pinto "pin.to
pintor pin."to4
pintura pin."tu.4a
pinzar pin"sa4
piojento pjo"xen.to
piojo "pjo.xo
pipar pi."pa4
pipiolo pi."pjo.lo
piporro pi"po.ro
piquete pi."ke.te
piquetilla pi.ke."ti.ʎa
piragua pi."4a.wa
pirar pi."4ar
pirca "pi4.ka
pircar pi4"ka4
pirenaico pi.4e"naj.ko
piriforme pi.4i."fo4.me
pirineo pi.4i"ne.o
pirita pi"4i.ta
pirograbado pi.4o.G4a"Ba.Do
piropear pi.4o.pe"a4
piropo pi"4o.po
pis "pis
pisapapeles pi.sa.pa"pe.les
pisar pi"sa4
piscina pi"si.na
pista "pis.t_da
pistacho pis"ta.tSo
pistilo pis."ti.lo
pisto "pis.to
pistola pis."to.la
pistolero pis.to."le.4o
pita "pi.ta
pitar pi"ta4
pitarra pi"ta.ra
pitarroso pi.ta"ro.so
pitido pi"ti.Do
pitillo pi"ti.ʎo
pitiyanqui pi.ti"j\aN.ki
pitorrearse pi.to.re"a4.se
pituco pi"tu.ko
pixel pik."sel
pizarra pi"sa.ra
pizarral pi.sa"ral
pizarrista pi.sa"ris.ta
pizarroso pi.sa"ro.so
pizza "pit.sa
placemiento pla.se"mjen_d.to
placenta pla"sen_d.ta
placenteramente pla.sen_d"te.4a"men_d.te
placentero pla.sen_d"te.4o
placibilidad pla.si.Bi.li"DaD
placible pla"si.Ble
placiblemente pla"si.Ble"men_d.te
placidez pla.si"Des
placiente pla"sjen_d.te
placimiento pla.si"mjen_d.to
plagio "pla.Gjo
plaguicida pla.ɡi"si.Da
plancha "plan.tSa
planchar plan"tSa4
planeador pla.ne.a"Do4
planeta pla"ne.ta
planicie pla"ni.sje
plano "pla.no
plantel plan"tel
plasmar plas"ma4
plasta "plas.ta
plastecer plas.te"se4
plata "pla.ta
plataforma pla.ta"fo4.ma
platanar pla.ta"na4
platea pla."te.a
plateado pla.te"a.Do
platelminto pla.tel"min.to
platero pla."te.4o
platicable pla.ti"ka.Ble
platicar pla.ti"ka4
platino pla"ti.no
plato "pla.to
plausible plaw"si.Ble
playa "pla.j\a
plaza "pla.sa
plazo "pla.so
pleamar ple.a."ma4
plebe "ple.Be
plebeyo ple"Be.j\o
pleca "ple.ka
plegar ple"M\a4
plegaria ple"M\a.4ja
pleita "plej.ta
plenilunio ple.ni."lu.njo
plenipotencia ple.ni.po"ten.sja
plenitud ple.ni"tuD
pleon "ple.on
pleonasmo ple.o"nas.mo
pletina ple."ti.na
pleura "plew.4a
pleural plew."4al
pleuritis plew."4i.tis
pleurodinia plew.4o."Di.nja
plexo "ple.kso
plinto "plin_d.to
plioceno pljo"se.no
plomo "plo.mo
pluma "plu.ma
plumado plu"ma.Do
plumaje plu"ma.xe
plumaria plu"ma.4ja
plumario plu"ma.4jo
plumazo plu"ma.so
plumilla plu"mi.ʎa
plural plu."4al
pluralidad plu.4a.li."DaD
pluricelular plu.4i.se.lu."lar
pluriempleo plu.4iem"pleo
poblado po."Bla.Do
poblar po."Bla4
pobo "po.Bo
pobre "po.B4e
pobremente po.B4e"men.te
pobreza po"B4e.sa
pocha "po.ts\a
pocho "po.ts\a
pocholo po"tSo.lo
pocilga po"sil.M\a
poco "po.ko
poda "po.Da
podadera po.Da"De.4a
podador po.Da"Do4
podadura po.Da"Du.4a
podar po"Da4
poder po"De4
podio "po.Djo
podredumbre po.D4e"Dum.b4e
podrir po"D4i4
poema po"e.ma
poemario po.e"ma.4jo
poeta po"e.ta
poetisa po.e"ti.sa
pogromo po"M\4o.mo
poiquilotermia poj.ki.lo."te4.mja
poiquilotermo poj.ki.lo."te4.mo
polaco po"la.ko
polar po.la4
polenta po"len.ta
poliarca po.li"a4.ka
polidipsia po.li"Dip.sja
poliedro po"lje.D4o
polietileno po.lje.ti"le.no
polifagia po.li"fa.xja
poligamia po.li"Ga.mja
poliginia po.li"xi.nja
poliglota po.li"Glo.ta
poligloto po.li"Glo.to
polineuritis %po.li.new."4i.tis
polir po"lir
polisemia po.li"se.mja
poliuria po.li"u.4ja
pollo "po_o.ʎo_o
pololear po.lo.le"a4
pololo po"lo.lo
polvareda pol.Ba."4e.Da
polvo "pol.Bo
polvoriento pol.Bo"4jen.to
polvorizar pul.vo.ri"sar
ponche "poJ.tSe
ponderable poN de "ra Ble
poni "poni
poniente po"njen_d.te
popayanejo po.pa.j\a"ne.xo
popote po"po.te
popularidad po.pu.la.4i"DaD
popularmente po.pu.la4"men_d.te
por "po4
porcentaje po4.sen"ta.xe
porche "po4.tSe
porfiadamente po4"fja.Da"men_d.te
porno "po4.no
poro "po.4o
porongo po"4oN.go
porosidad po.4o.si."DaD
poroso po"4o.so
poroto po."4o.to
porque "po4.ke
porquera po4"ke.4a
porqueriza po4.ke"4i.sa
porquerizo po4.ke"4i.so
porquero po4"ke.4o
porqueta po4"ke.ta
porquezuela po4.ke"swe.la
porra "po.ra
porrada po"ra.Da
porrazo po"ra.so
portaaviones po4.ta."Bjo.nes
portada po4"ta.Da
portal po4"tal
portaplumas %po4.ta"plu.mas
portar po4"ta4
portero po4"te.4o
portuario po4"twa.4jo
portuguesismo po4.tu.Ge"sis.mo
posar po"sa4
pose "po.se
poseer po.se"e4
posesivo po.se"si.Bo
posguerra pos"ge.ra
posibilidad po.si.Bi.li"DaD
posible po"si.Ble
positivo po.si"ti.Bo
positura po.si"tu.4a
posmeridiano %pos.me.4i"Dja.no
posmodernidad pos.mo.De4.ni"DaD
posmoderno pos.mo"De4.no
posponer pos.po"ne4
pospuesto pos"pwes.to
posta "pos.ta
postal pos"tal
postear pos.te"a4
posteridad pos.te.4i"DaD
posterior pos.te"4io4
postmodernismo post.mo.De4"nis.mo
potable po"ta.Ble
potente po"ten_d.te
potestad po.tes"taD
potingue po"tiN.ge
potoco po."to.ko
potro "po.t4o
poyo "po.j\o
poza "po.sa
pozo "po.so
practicable p4ak.ti"ka.Ble
practicador p4ak.ti.ka"Do4
practicaje p4ak.ti"ka.xe
practicar p4ak.ti"ka4
pradera p4a"De4a
pragmatismo p4ag.ma"tis.mo
prear p4e"a4
precario p4e ka 4j o
precedente p4e.se"Den.te
precepto p4e"sep.to
preceptor p4e.sep."to4
precinto p4e"sin.to
precio "p4e.sjo
precipicio p4e.si"pi.sjo
precipitadamente p4e.si.pi"ta.Da.men_d.te
precipitar p4e.si.pi"ta4
precipitosamente p4e.si.pi"to.sa"men.te
precipitoso p4e.si.pi"to.so
precipuamente p4e"si.pwa"men.te
precipuo p4e"si.pwo
precisamente p4e"si.sa"men.te
precisar p4e.si"sa4
preciso p4e"si.so
precitado p4e.si"ta.Do
precito p4e"si.to
preconcebir p4e.kon.se."Bi4
preconocer p4e.ko.no"se4
predecir p4e.De"si4
predefinir p4e.De.fi"ni4
predeterminar p4e.De.te4.mi"na4
predicar p4e.Di"ka4
predicho p4e"Di.tSo
predilecto di"lek.to
predominancia p4e.Do.mi"nan.sja
predominante p4e.Do.mi"nan_d.te
predominar p4e.Do.mi"na4
predominio p4e.Do"mi.njo
preeminencia p4e.e.mi"nen.sja
preexistencia p4e.ek.sis"ten.sja
preexistente p4e.ek.sis"ten_d.te
preexistir p4e.ek.sis"ti4
prefacio p4e"fa.sjo
prefectura p4e.fek"tu.4a
preferencia p4e.fe"4en.sja
prefijar p4e.fi"xa4
prefilatelia p4e.fi.la"te.lja
prefinir p4e.fi"ni4
pregar p4e"Ga4
pregonero p4e.M\o"ne.4o
preguntar p4e.M\un"ta4
prehistoria p4e.is."to.4ja
prejuicio p4e."xwi.sjo
prelado p4e"la.Do
preludio p4e"lu.Djo
premio "p4e.mjo
prender p4eN."De4
prensar p4en"sar
prensil p4en."sil
preocupadamente p4e.o.ku"pa.Da"men.te
preocupar p4e.o.ku"pa4
preparar p4e.pa"4a4
preponderante pre poN de "raN te
prepositivo p4e.po.si"ti.Bo
prepotencia p4e.po"ten.sja
prepotente p4e.po."ten.te
prerrogativa p4e.ro.M\a"ti.Ba
presbicia p4es."Bi.sja
presbiterio p4es."Bi.te.ro_o
prescindir pre.sin_d"di4 
prescribir p4es.k4i"Bi4
prescripto p4es"k4ip.to
prescrito pres"k4i.to
presenciar p4e.sen"sja4
presentar p4e.sen"ta4
presente pre."sen.te
presentir p4e.sen_d"ti4
preservar p4e.se4"Ba4
presidencia p4e.si"Den.sja
presidente p4e.si"Den.te
presidio p4e"si.Djo
prestamente "p4es.ta"men.te
prestancia p4es."tan._+sja
prestar p4es."ta4
presteza p4es."te.sa
presuntuosamente p4e.sun_d"two.sa"men_d.te
presuponer %p4e.su.po"ne4
presupuestar p4e.su.pwes"ta4
presupuestario p4e.su.pwes"ta.4jo
presurizar p4e.su.4i"sa4
preterir p4e.te"4i4
pretextar p4e.teks"tar
prevalecer p4e.Ba.le"se4
prevaleciente p4e.Ba.le"sjen_d.te
prevaler p4e.Ba"le4
preventivo p4e.Ben"ti.Bo
prever p4e"Be4
previo "p4e.Bjo
previsto p4e"Bis.to
priesa "p4je.sa
prima "p4i.ma
primavera p4i.ma"Be.4a
primaveral p4i.ma.Be"4al
primer p4i"me4
primera p4i"me.4a
primigenio primi"xenjo
principado p4in.si"pa.Do
principal p4in.si"pal
principiante p4in.si"pjan.te
principiar p4in.si"pja4
prior p4i"o4
priora p4i"o.4a
prioradgo p4i.o"4aD.M\o
prioral p4i.o"4al
priorato p4i.o"4a.to
priorazgo p4i.o"4as.M\o
prioresa p4i.o"4e.sa
prioridad p4jo.4i"DaD
prioritario p4i.o.4i"ta.4jo
priorizar p4jo.4i."sa4
prioste p4i"os.te
prisa "p4i.sa
priscilianismo p4is.si.lja"nis.mo
priscilianista p4is.si.lja"nis.ta
prisciliano p4is.si"lja.no
prisco "p4is.ko
prisionero p4i.sjo"ne.4o
prisma "p4is.ma
privada p4i"Ba.Da
privadamente p4i"Ba.Da.men_d.te
privatizar p4i.Ba.ti"sa4
privilegiadamente p4i.Bi.le"xja.Da"men_d.te
privilegiar p4i.Bi.le"xja4
privilegiativo p4i.Bi.le.xja"ti.Bo
proa "p4o.a
probable p4o"Ba.Ble
probar p4o"Ba4
problema p4o"Ble.ma
procariota p4o.ka."4jo.ta
procedencia p4o.se"Den.sja
procedente p4o.se"Den.te
proceder p4o.se"De4
procedimiento p4o.se.Di"mjen.to
proceso p4o"se.so
proclamar p4o.kla"ma4
procrastinar pro.kras.ti"nar
procrear p4o.k4e"a4
producir p4o.Du."si4
productividad p4o.Duk.ti.Bi"DaD
productivo p4o.Duk"ti.Bo
producto p4o"Duk.to
proemio p4o"e.mjo
proeza p4o"e.sa
profe "p4o.fe
profesional p4o.fe.sjo"nal
profesor p4o.fe"so4
profeta p4o"fe.ta
profilaxis p4o.fi"lak.sis
profundidad p4o.fun.di"DaD
progenitor p4o.xe.ni"to4
prognatismo p4o.Gna"tis.mo
prognato p4oG"na.to
programa pro"Gra.ma
progresar p4o.G4e"sa4
progresista p4o.G4e"sis.ta
prohibir p4o.i"Bi4
prohibitivo p4o.i.Bi"ti.Bo
prohibitorio p4o.i.Bi"to.4jo
prohijamiento p4o.i.xa."mjen.to
prohijar p4o.i"xa4
prole "p4o.le
proletario p4o.le"ta.4jo
prolijo p4o"li.xo
prolongadamente p4o.loN"ga.Da"men_d.te
prolongador p4o.loN.ga"Do4
prolongamiento p4o.loN.ga"mjen_d.to
prolongar p4o.loN"ga4
proloquio p4o"lo.kjo
promesa p4o"me.sa
prometedor p4o.me.te"Do4
promisorio p4o.mi"so.4jo
promontorio p4o.mon."to.4jo
pronombre p4o"nom.b4e
pronominal p4o.no.mi"nal
pronosticar p4o.nos.ti"ka4
pronteza p4on"te.sa
prontitud p4on_d.ti"tuD
pronto "p4on.to
propagador p4o.pa.Ga"Do4
propender p4o.pen"de4
propiedad p4o.pje"DaD
propietario p4o.pje"ta.4jo
propina p4o"pi.na
propio "p4o.pjo
proponer p4o.po"ne4
prosa "p4o.sa
prosodia p4o"so.Dja
prosopopeya p4o.so.po"pe.j\a
prosperidad p4os.pe.4i"DaD
prostibulario p4os.ti.Bu"la.4jo
prostituir p4os.ti"twi4
prostituto p4os.ti"tu.to
protagonista p4o.ta.go."nis.ta
proteccionismo p4o.tek.sjo"nis.mo
proteccionista p4o.tek.sjo"nis.ta
protector p4o.tek"to4
protegido p4o.te."xi.Do
protervo p4o"te4.Bo
protestantismo p4o.tes.tan"tis.mo
protohistoria p4o.to.is"to.4ja
protoplaneta %p4o.to.pla."ne.ta
protozoo p4o.to"so.o
protuberancia p4o.tu.Be"4an.sja
provechar p4o.Be"tSa4
provecho p4o"Be.tSo
provechosamente p4o.Be"tSo.sa"men.te
provechoso p4o.Be"tSo.so
proveedor p4o.Be.e."dor
proveer p4o.Be"e4
provenir p4o.Be"ni4
provincia p4o."Bin.sja
provinciano p4o.Bin"sja.no
provisional p4o.Bi.sjo"nal
provocador p4o.Bo.ka"Dor
provocar p4o.Bo"ka4
proxeneta p4ok.se"ne.ta
proximidad p4ok.si.mi"DaD
proyeccionista p4o.j\ek.sjo"nis.ta
proyectante p4o.j\ek"tan_d.te
proyectar p4o.j\ek"ta4
proyectil p4o.j\ek"til
proyectista p4o.j\ek"tis.ta
proyectivo p4o.j\ek"ti.Bo
proyector p4o.j\ek"to4
proyectura p4o.j\ek"tu.4a
prudencia p4u"Den.sja
pruna "p4u.na
prurito p4u"4i.to
prusiato p4u."sja.to
psique "(p)si.ke
psiquis "psi.kis
psoriasis so"4ja.sis
puar pwa4
pubertad pu.Be4"taD
pubescer pu.Be"se4
publicar pu.Bli"ka4
publicidad pu.Bli.si"DaD
pucha "pu.tSa
pucho "pu.tSo
pudibundo pu.Di"Bun_d.do
pudiente pu"Djen_d.te
pudoroso pu.Do"4o.so
pudrir pu"D4i4
puelche "pwel.tSe
puente "pwen.te
puerco "pwe4.ko
pueril pwe"4il
puerperio pwe4"pe.4jo
puerta "pwe4.ta
puesta "pwes.ta
pugilismo pu.xi"lis.mo
pugna "puM\.na
pujamen pu"xa.men
pulcritud pul.k4i"tuD
pulcro "pul.k4o
pulga "pul.M\a
pulgada pul"M\a.Da
pulguiento pul"M\jen.to
pulidamente pu"li.Da"men_d.te
pulido pu"li.Do
pulir pu"lir
pulmonar pul.mo."na4
pulpa "pul.pa
pulpo "pul.po
pulsear pul.se"a4
pulsera pul"se.4a
pulsista pul"sis.ta
pulso "pul.so
puma "pu.ma
pumita pu."mi.ta
punga "pun.ga
punir pu"ni4
punta "pun.ta
puntal pun"tal
puntilla pun_d"ti.j\a
puntual pun"twal
puntualidad pun.twa.li"DaD
pupa "pu.pa
pupitre pu"pi.t4e
pupo "pu.po
pupusa pu"pu.sa
pureza pu"4e.sa
purga "pu4.M\a
purgable pu4"M\a.Ble
purgador pu4.M\a"Do4
purgamiento pu4.M\a"mjen.to
purgante pu4"Gan_d.te
purgar pu4"M\a4
purgativo pu4.M\a"ti.Bo
purgatorio pu4.M\a"to.4jo
puridad pu.4i"DaD
purismo pu"4is.mo
puro "pu.4o
putear pu.te"a4
putero pu"te.4o
puto "pu.to
putrescible pu.t4es"si.Ble
putumayense pu.tu.ma"j\en.se
pututo pu"tu.to
puzle "pus.le
que "ke
quebrada ke."B_o4a.Da
quebrar ke"B4a4
quechua "ke.ʧwa
quedito ke."Di.to
quehacer ke.a"se4
queja "ke.xa
quejar ke"xa4
quejica ke"xi.ka
quejicoso ke.xi"ko.so
quejigo ke"xi.M\o
quejumbroso ke.xum"b4o.so
quelite ke"lite
quemadura ke.ma"Du.4a
quemar ke."ma4
quemarropa %ke.ma"ro.pa
quepis "ke.pis
querencia ke"4en.sja
querencioso ke.4en"sjo.so
querer ke"4e4
queroseno ke.4o"se.no
queso "ke.so
quetzal ket."sal
quevedos ke"Be.Dos
quiaca "kja.ka
quiasma "kjas.ma
quiasmo "kjaz.mo
quibdoano kib"Dwa.Jo
quiche "ki.tSe
quicial ki"sjal
quicio "ki.sjo
quien ki"en
quier "kje4
quietamente kje.ta"men_d.te
quieto "kje.to
quietud kje."tuD
quif "kif
quijero ki"xe.4o
